id,tag_name,created_at
1,sunset,"2021-07-27 14:15:21"
2,photography,"2021-07-27 14:15:21"
3,sunrise,"2021-07-27 14:15:21"
4,landscape,"2021-07-27 14:15:21"
5,food,"2021-07-27 14:15:21"
6,foodie,"2021-07-27 14:15:21"
7,delicious,"2021-07-27 14:15:21"
8,beauty,"2021-07-27 14:15:21"
9,stunning,"2021-07-27 14:15:21"
10,dreamy,"2021-07-27 14:15:21"
11,lol,"2021-07-27 14:15:21"
12,happy,"2021-07-27 14:15:21"
13,fun,"2021-07-27 14:15:21"
14,style,"2021-07-27 14:15:21"
15,hair,"2021-07-27 14:15:21"
16,fashion,"2021-07-27 14:15:21"
17,party,"2021-07-27 14:15:21"
18,concert,"2021-07-27 14:15:21"
19,drunk,"2021-07-27 14:15:21"
20,beach,"2021-07-27 14:15:21"
21,smile,"2021-07-27 14:15:21"
